Date,Time,Female,Block,Treatment,Donor,Feed,Laid,Count,Dead,Day
2/8/2018,12:35 PM,1,1,16,1,0,0,,0,0
2/8/2018,12:50 PM,2,1,16,1,1,0,,0,0
2/8/2018,12:50 PM,3,1,16,1,0,0,,0,0
2/8/2018,10:50 AM,4,1,16,1,1,0,,0,0
2/8/2018,12:50 PM,5,1,16,1,1,0,,0,0
2/8/2018,12:35 PM,6,1,16,1,0,0,,0,0
2/8/2018,12:35 PM,7,1,16,1,0,0,,0,0
2/8/2018,11:45 AM,8,1,16,1,1,0,,0,0
2/8/2018,11:45 AM,9,1,16,1,1,0,,0,0
2/8/2018,12:35 PM,10,1,16,1,0,0,,0,0
2/8/2018,11:10 AM,11,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,12,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,13,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,14,1,16,1,0,0,,0,0
2/8/2018,11:10 AM,15,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,16,1,16,1,0,0,,0,0
2/8/2018,12:50 PM,17,1,16,1,0,0,,0,0
2/8/2018,12:50 PM,18,1,16,1,1,0,,0,0
2/8/2018,12:50 PM,19,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,20,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,21,1,16,1,0,0,,0,0
2/8/2018,11:10 AM,22,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,23,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,24,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,25,1,16,1,1,0,,0,0
2/8/2018,11:10 AM,26,1,16,1,0,0,,0,0
2/8/2018,11:10 AM,27,1,16,1,0,0,,0,0
2/8/2018,11:10 AM,28,1,16,1,0,0,,0,0
2/8/2018,11:10 AM,29,1,16,1,1,0,,0,0
2/8/2018,12:35 PM,30,1,16,1,0,0,,0,0
2/8/2018,11:10 AM,31,1,20,1,0,0,,0,0
2/8/2018,11:10 AM,32,1,20,1,1,0,,0,0
2/8/2018,11:45 AM,33,1,20,1,1,0,,0,0
2/8/2018,12:35 PM,34,1,20,1,0,0,,0,0
2/8/2018,11:45 AM,35,1,20,1,1,0,,0,0
2/8/2018,11:45 AM,36,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,37,1,20,1,0,0,,0,0
2/8/2018,11:45 AM,38,1,20,1,1,0,,0,0
2/8/2018,11:45 AM,39,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,40,1,20,1,1,0,,0,0
2/8/2018,12:50 PM,41,1,20,1,1,0,,0,0
2/8/2018,10:50 AM,42,1,20,1,1,0,,0,0
2/8/2018,10:50 AM,43,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,44,1,20,1,0,0,,0,0
2/8/2018,10:50 AM,45,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,46,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,47,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,48,1,20,1,0,0,,0,0
2/8/2018,11:10 AM,49,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,50,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,51,1,20,1,0,0,,0,0
2/8/2018,11:10 AM,52,1,20,1,1,0,,0,0
2/8/2018,12:50 PM,53,1,20,1,0,0,,0,0
2/8/2018,11:10 AM,54,1,20,1,1,0,,0,0
2/8/2018,11:45 AM,55,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,56,1,20,1,1,0,,0,0
2/8/2018,12:50 PM,57,1,20,1,0,0,,0,0
2/8/2018,12:35 PM,58,1,20,1,0,0,,0,0
2/8/2018,11:10 AM,59,1,20,1,1,0,,0,0
2/8/2018,11:10 AM,60,1,20,1,1,0,,0,0
2/8/2018,10:50 AM,61,1,24,1,1,0,,0,0
2/8/2018,12:50 PM,62,1,24,1,1,0,,0,0
2/8/2018,12:50 PM,63,1,24,1,1,0,,0,0
2/8/2018,12:50 PM,64,1,24,1,1,0,,0,0
2/8/2018,10:50 AM,65,1,24,1,1,0,,0,0
2/8/2018,11:10 AM,66,1,24,1,0,0,,0,0
2/8/2018,11:10 AM,67,1,24,1,1,0,,0,0
2/8/2018,11:10 AM,68,1,24,1,1,0,,0,0
2/8/2018,11:10 AM,69,1,24,1,1,0,,0,0
2/8/2018,12:35 PM,70,1,24,1,0,0,,0,0
2/8/2018,11:10 AM,71,1,24,1,1,0,,0,0
2/8/2018,12:50 PM,72,1,24,1,0,0,,0,0
2/8/2018,11:10 AM,73,1,24,1,0,0,,0,0
2/8/2018,11:10 AM,74,1,24,1,1,0,,0,0
2/8/2018,10:50 AM,75,1,24,1,1,0,,0,0
2/8/2018,11:25 AM,76,1,24,1,0,0,,0,0
2/8/2018,11:45 AM,77,1,24,1,1,0,,0,0
2/8/2018,11:10 AM,78,1,24,1,1,0,,0,0
2/8/2018,11:25 AM,79,1,24,1,1,0,,0,0
2/8/2018,11:45 AM,80,1,24,1,1,0,,0,0
2/8/2018,11:10 AM,81,1,24,1,1,0,,0,0
2/8/2018,11:10 AM,82,1,24,1,1,0,,0,0
2/8/2018,11:25 AM,83,1,24,1,1,0,,0,0
2/8/2018,11:10 AM,84,1,24,1,1,0,,0,0
2/8/2018,11:10 AM,85,1,24,1,1,0,,0,0
2/8/2018,11:45 AM,86,1,24,1,1,0,,0,0
